дата,регион,город,категория,товар,канал,количество,цена,продажи,прибыль
2025-01-01,Центральный,Тула,Одежда,Куртка,Онлайн,4,8351,34239,14530
2025-01-01,Уральский,Екатеринбург,Электроника,Смартфон,Онлайн,4,42594,174635,52302
2025-01-02,Уральский,Екатеринбург,Книги,Учебник,Розница,1,1262,1294,531
2025-01-02,Южный,Краснодар,Бытовая техника,Холодильник,Розница,6,47863,294357,104502
2025-01-02,Южный,Ростов-на-Дону,Одежда,Куртка,Розница,8,9065,74333,15366
2025-01-02,Центральный,Тула,Одежда,Футболка,Онлайн,6,1523,9366,2565
2025-01-02,Приволжский,Самара,Электроника,Смартфон,Розница,2,43921,90038,30311
2025-01-02,Приволжский,Самара,Одежда,Куртка,Онлайн,5,9363,47985,13393
2025-01-03,Приволжский,Нижний Новгород,Бытовая техника,Холодильник,Онлайн,8,50746,416117,84313
2025-01-03,Южный,Сочи,Бытовая техника,Холодильник,Розница,6,50972,313478,135878
2025-01-03,Приволжский,Нижний Новгород,Книги,Учебник,Розница,8,1114,9135,3792
2025-01-03,Уральский,Челябинск,Одежда,Куртка,Онлайн,3,9017,27727,11847
2025-01-03,Центральный,Москва,Бытовая техника,Пылесос,Розница,2,13677,28038,8440
2025-01-03,Южный,Ростов-на-Дону,Электроника,Наушники,Розница,2,6218,12747,4025
2025-01-04,Центральный,Воронеж,Книги,Роман,Розница,8,630,5166,1392
2025-01-04,Приволжский,Нижний Новгород,Электроника,Наушники,Онлайн,5,6410,32851,10614
2025-01-04,Приволжский,Самара,Бытовая техника,Холодильник,Розница,6,51881,319068,134657
2025-01-04,Южный,Сочи,Электроника,Смартфон,Онлайн,2,41271,84606,27793
2025-01-05,Приволжский,Казань,Книги,Роман,Онлайн,5,704,3608,1076
2025-01-05,Приволжский,Нижний Новгород,Одежда,Кроссовки,Онлайн,6,7407,45553,14605
2025-01-05,Приволжский,Казань,Электроника,Ноутбук,Онлайн,1,79378,81362,31932
2025-01-05,Центральный,Москва,Электроника,Смартфон,Онлайн,2,48649,99730,23446
2025-01-05,Приволжский,Самара,Книги,Роман,Розница,3,731,2248,516
